sample,date,timestamp,barometric_pressure,humidity,temperature,wind_direction,wind_speed,solar_radiation,Label
1,9/30/2016,23:55:18,30.46,80,48,151.95,7.87,1.27,1
2,9/30/2016,23:50:23,30.46,79,48,176.14,7.87,1.25,1
3,9/30/2016,23:45:24,30.46,79,48,177.54,9,1.25,1
4,9/30/2016,23:40:21,30.46,79,48,167.56,13.5,1.25,1
5,9/30/2016,23:35:22,30.47,79,48,177.81,15.75,1.27,1
6,9/30/2016,23:30:27,30.47,79,48,140.58,7.87,1.29,1
7,9/30/2016,23:25:21,30.47,80,48,171.63,10.12,1.23,1
8,9/30/2016,23:20:21,30.47,84,48,166.84,10.12,1.25,1
9,9/30/2016,23:15:21,30.47,86,48,151.93,14.62,1.27,1
10,9/30/2016,23:10:24,30.47,88,48,173.83,10.12,1.24,1
11,9/30/2016,23:05:22,30.47,88,48,151.69,10.12,1.26,1
12,9/30/2016,23:00:26,30.47,89,49,168.38,11.25,1.26,1
13,9/30/2016,22:55:23,30.47,91,49,91.28,7.87,1.28,1
14,9/30/2016,22:50:23,30.47,96,49,124.02,13.5,1.25,1
15,9/30/2016,22:45:22,30.47,99,49,120.72,7.87,1.27,1
16,9/30/2016,22:40:25,30.47,99,49,147.66,3.37,1.27,1
17,9/30/2016,22:35:22,30.47,99,49,167.92,11.25,1.25,1
18,9/30/2016,22:30:23,30.48,100,49,112.55,6.75,1.27,1
19,9/30/2016,22:25:19,30.48,100,50,132.28,10.12,1.24,1
20,9/30/2016,22:20:19,30.48,100,50,106.89,9,1.25,1
21,9/30/2016,22:15:19,30.48,100,50,172.54,5.62,1.26,1
22,9/30/2016,22:10:23,30.48,100,50,87.97,5.62,1.25,1
23,9/30/2016,22:05:24,30.48,100,51,150.41,11.25,1.26,1
24,9/30/2016,22:00:20,30.48,100,51,102.63,4.5,1.28,1
25,9/30/2016,21:55:22,30.48,100,51,154.94,4.5,1.24,1
26,9/30/2016,21:50:21,30.48,100,51,87.88,4.5,1.26,1
27,9/30/2016,21:45:21,30.48,100,51,96.52,4.5,1.27,1
28,9/30/2016,21:40:25,30.48,99,50,98.15,4.5,1.26,1
29,9/30/2016,21:35:20,30.48,99,50,160.24,5.62,1.27,1
30,9/30/2016,21:30:23,30.48,99,50,131.5,2.25,1.3,1
31,9/30/2016,21:25:19,30.48,99,50,133.1,7.87,1.26,1
32,9/30/2016,21:20:20,30.48,99,50,126.64,11.25,1.27,1
33,9/30/2016,21:15:20,30.48,99,49,155.31,5.62,1.26,1
34,9/30/2016,21:10:19,30.48,99,49,126.27,10.12,1.28,1
35,9/30/2016,21:05:20,30.48,100,49,152.17,7.87,1.27,1
36,9/30/2016,21:00:21,30.47,100,49,124.52,7.87,1.27,1
37,9/30/2016,20:55:21,30.48,100,49,17.29,5.62,1.28,1
38,9/30/2016,20:50:29,30.48,100,50,61.37,4.5,1.3,1
39,9/30/2016,20:45:23,30.47,100,51,57.31,5.62,1.24,1
40,9/30/2016,20:40:24,30.47,100,51,125.44,7.87,1.29,1
41,9/30/2016,20:35:23,30.47,100,51,85.15,3.37,1.3,1
,9/30/2016,20:30:00,30.47,100,51,80,3.37,1.3,1
42,9/30/2016,20:25:21,30.47,100,51,70.91,3.37,1.32,1
43,9/30/2016,20:20:21,30.46,100,51,71.82,5.62,1.29,1
44,9/30/2016,20:15:26,30.46,99,51,88.88,9,1.3,1
45,9/30/2016,20:10:23,30.46,99,51,195.56,2.25,1.27,1
46,9/30/2016,20:05:23,30.46,99,52,114.92,7.87,1.27,1
47,9/30/2016,20:00:29,30.46,99,52,9.67,13.5,1.29,1
48,9/30/2016,19:55:28,30.46,99,52,100.14,12.37,1.3,1
49,9/30/2016,19:50:20,30.46,98,53,18.92,3.37,1.29,1
50,9/30/2016,19:45:19,30.46,98,52,67.59,10.12,1.29,1
51,9/30/2016,19:40:22,30.46,97,52,39.34,10.12,1.29,1
52,9/30/2016,19:35:22,30.46,96,52,127.23,2.25,1.26,1
53,9/30/2016,19:30:23,30.46,96,52,114.03,5.62,1.26,1
54,9/30/2016,19:25:24,30.45,95,52,88.49,5.62,1.27,1
55,9/30/2016,19:20:24,30.46,95,52,88.59,4.5,1.31,1
56,9/30/2016,19:15:21,30.46,94,52,92.81,5.62,1.27,1
,9/30/2016,19:10:21,30.46,93.5,52,108.86,5.62,1.27,1
57,9/30/2016,19:05:21,30.46,93,52,124.91,5.62,1.27,1
58,9/30/2016,19:00:19,30.45,92,52,137.62,10.12,1.28,1
59,9/30/2016,18:55:20,30.45,91,52,87.84,10.12,1.3,1
60,9/30/2016,18:50:21,30.45,89,52,30.18,2.25,1.3,1
61,9/30/2016,18:45:24,30.45,87,52,177.35,4.5,1.26,1
62,9/30/2016,18:40:21,30.45,87,52,132.61,4.5,1.28,1
63,9/30/2016,18:35:21,30.45,87,52,116.81,5.62,1.21,1
64,9/30/2016,18:30:21,30.45,86,52,159.42,2.25,1.23,1
65,9/30/2016,18:25:20,30.45,88,52,154.96,6.75,1.27,1
66,9/30/2016,18:20:23,30.45,90,52,127.56,6.75,2.37,1
67,9/30/2016,18:15:19,30.45,89,52,146.07,7.87,2.17,1
68,9/30/2016,18:10:20,30.45,89,52,86.22,5.62,3.43,1
69,9/30/2016,18:05:20,30.45,88,52,29.07,1.12,7.78,1
70,9/30/2016,18:00:30,30.45,89,53,61.71,5.62,14.33,1
71,9/30/2016,17:55:21,30.45,85,53,97.54,11.25,19.07,1
72,9/30/2016,17:50:21,30.45,84,53,122.21,5.62,23.68,1
73,9/30/2016,17:45:25,30.44,81,54,84.76,3.37,30.32,1
74,9/30/2016,17:40:24,30.44,81,54,55.09,5.62,55.91,1
75,9/30/2016,17:35:20,30.44,82,54,73.16,11.25,50.75,1
76,9/30/2016,17:30:25,30.44,81,54,45.77,3.37,76.36,1
77,9/30/2016,17:25:21,30.44,78,54,347.32,6.75,112.4,1
78,9/30/2016,17:20:19,30.44,78,55,124.97,6.75,93.66,1
79,9/30/2016,17:15:21,30.44,81,55,83.83,12.37,172.74,2
80,9/30/2016,17:10:20,30.44,82,56,20.86,13.5,290.09,2
81,9/30/2016,17:05:21,30.44,80,56,69.42,7.87,329.09,3
82,9/30/2016,17:00:21,30.43,77,55,98.05,6.75,349.17,3
83,9/30/2016,16:55:20,30.44,77,55,347.6,7.87,324.11,3
84,9/30/2016,16:50:22,30.43,77,56,33.25,10.12,138.31,1
85,9/30/2016,16:45:18,30.43,77,56,22.51,3.37,330.81,3
86,9/30/2016,16:40:23,30.43,75,56,0.16,6.75,369.66,3
87,9/30/2016,16:35:22,30.43,74,56,48.67,6.75,329.71,3
88,9/30/2016,16:30:19,30.43,74,57,359.23,11.25,271.74,2
89,9/30/2016,16:25:19,30.43,72,58,359.93,5.62,309.23,2
90,9/30/2016,16:20:22,30.44,66,58,10.35,6.75,444.45,3
91,9/30/2016,16:15:21,30.43,67,58,33.94,6.75,454.53,3
92,9/30/2016,16:10:21,30.43,71,58,23.98,3.37,502.97,4
93,9/30/2016,16:05:21,30.43,67,58,15.59,7.87,517.54,4
94,9/30/2016,16:00:23,30.43,66,58,24.37,2.25,522.91,4
95,9/30/2016,15:55:26,30.43,69,58,19.6,5.62,518.79,4
96,9/30/2016,15:50:22,30.43,68,58,85.31,7.87,574.72,4
